,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True
0,2021.04.30,4/30/2021,2021,Unprovoked,USA,F,64.0,April,2021 April,False
1,2021.04.14,4/14/2021,2021,Unprovoked,SOUTH AFRICA,M,38.0,April,2021 April,False
2,2020.07.22,7/22/2020,2020,Unprovoked,USA,M,,July,2020 July,False
3,2019.09.28,9/28/2019,2019,Provoked,AUSTRALIA,M,45.0,September,2019 September,False
4,2019.04.23,4/23/2019,2019,Unprovoked,USA,F,65.0,April,2019 April,False
5,2019.01.29,1/29/2019,2019,,NEW ZEALAND,F,17.0,January,2019 January,False
6,2018.11.28,11/28/2018,2018,Unprovoked,AUSTRALIA,M,25.0,November,2018 November,False
7,2018.08.15.b,8/15/2018,2018,,USA,M,,August,2018 August,False
8,2018.07.07,7/7/2018,2018,,USA,M,,July,2018 July,False
9,2018.03.09.a,3/9/2018,2018,Unprovoked,AUSTRALIA,M,18.0,March,2018 March,False
10,2017.08.29,8/29/2017,2017,Unprovoked,AUSTRALIA,M,37.0,August,2017 August,False
11,2017.07.07.R,7/7/2017,2017,Provoked,MEXICO,M,32.0,July,2017 July,False
12,2017.06.04,6/4/2017,2017,Unprovoked,USA,M,,June,2017 June,False
13,2017.04.02.a,4/2/2017,2017,Unprovoked,USA,F,17.0,April,2017 April,False
14,2017.02.21,2/21/2017,2017,Unprovoked,REUNION,M,26.0,February,2017 February,True
15,2016.10.14,10/14/2016,2016,Unprovoked,USA,F,66.0,October,2016 October,False
16,2016.05.15,5/15/2016,2016,Provoked,USA,F,23.0,May,2016 May,False
17,2015.07.25,7/25/2015,2015,Unprovoked,AUSTRALIA,M,46.0,July,2015 July,True
18,2015.06.14.b,6/14/2015,2015,Unprovoked,USA,M,16.0,June,2015 June,False
19,2015.06.14.a,6/14/2015,2015,Unprovoked,USA,F,12.0,June,2015 June,False
20,2015.02.14,2/14/2015,2015,Unprovoked,REUNION,F,22.0,February,2015 February,True
21,2015.02.08,2/8/2015,2015,Unprovoked,AUSTRALIA,M,35.0,February,2015 February,False
22,2014.10.30,10/29/2014,2014,Provoked,AUSTRALIA,M,20.0,October,2014 October,False
23,2014.10.14,10/14/2014,2014,Unprovoked,USA,F,7.0,October,2014 October,False
24,2014.06.01.c,6/1/2014,2014,Unprovoked,USA,F,22.0,June,2014 June,False
25,2014.05.22,5/22/2014,2014,Provoked,AUSTRALIA,M,10.0,May,2014 May,False
26,2014.04.22,4/22/2014,2014,Unprovoked,USA,M,42.0,April,2014 April,False
27,2013.09.01.a,9/1/2013,2013,Unprovoked,USA,M,9.0,September,2013 September,False
28,2013.08.14,8/14/2013,2013,Unprovoked,USA,F,20.0,August,2013 August,True
29,2013.07.28.a,7/28/2013,2013,Unprovoked,BAHAMAS,M,50.0,July,2013 July,False
30,2013.06.18,6/18/2013,2013,Unprovoked,USA,M,28.0,June,2013 June,False
31,2013.06.17,6/17/2013,2013,Unprovoked,USA,M,15.0,June,2013 June,False
32,2013.05.23.b,5/23/2013,2013,Unprovoked,BRAZIL,M,41.0,May,2013 May,True
33,2013.05.23.a,5/23/2013,2013,Provoked,PALESTINIAN TERRITORIES,M,30.0,May,2013 May,False
34,2012.10.27,10/27/2012,2012,Unprovoked,USA,F,51.0,October,2012 October,False
35,2012.06.22.b,6/22/2012,2012,Unprovoked,AUSTRALIA,M,,June,2012 June,False
36,2012.03.06.b,3/6/2012,2012,Unprovoked,NEW ZEALAND,M,,March,2012 March,False
37,2011.07.13.b,7/13/2011,2011,Unprovoked,USA,M,,July,2011 July,False
38,2010.11.30.b,11/30/2010,2010,Unprovoked,EGYPT,F,70.0,November,2010 November,False
39,2010.11.30.a,11/30/2010,2010,Unprovoked,EGYPT,F,48.0,November,2010 November,False
40,2010.08.02.b,8/2/2010,2010,,USA,M,,August,2010 August,False
41,2010.02.01,2/1/2010,2010,Provoked,NEW ZEALAND,F,14.0,February,2010 February,False
42,2009.12.22,12/22/2009,2009,Unprovoked,MOZAMBIQUE,M,27.0,December,2009 December,False
43,2009.09.12,9/12/2009,2009,,USA,M,60.0,September,2009 September,True
44,2009.07.22.b,7/22/2009,2009,Unprovoked,USA,F,26.0,July,2009 July,False
45,2009.07.11.a,7/11/2009,2009,Unprovoked,USA,M,,July,2009 July,False
46,2009.06.01,6/1/2009,2009,Unprovoked,EGYPT,F,50.0,June,2009 June,True
47,2009.05.16.b,5/16/2009,2009,Unprovoked,USA,M,49.0,May,2009 May,False
48,2009.03.17.R,3/17/2009,2009,Unprovoked,MALAYSIA,F,,March,2009 March,False
49,2009.01.27.R,1/27/2009,2009,Provoked,AZORES,M,49.0,January,2009 January,False
50,2009.01.25,1/25/2009,2009,Unprovoked,CUBA,M,15.0,January,2009 January,False
51,2008.12.30,12/30/2008,2008,,AUSTRALIA,,,December,2008 December,False
52,2008.12.20,12/20/2008,2008,,USA,M,,December,2008 December,False
53,2008.08.30.b,8/30/2008,2008,,USA,M,27.0,August,2008 August,False
54,2008.08.30.a,8/30/2008,2008,Provoked,UNITED KINGDOM,M,52.0,August,2008 August,False
55,2008.05.10,5/10/2008,2008,Unprovoked,AUSTRALIA,M,37.0,May,2008 May,False
56,2007.12.10,12/10/2007,2007,Unprovoked,USA,M,52.0,December,2007 December,False
57,2007.11.06,11/6/2007,2007,Unprovoked,USA,M,21.0,November,2007 November,False
58,2007.10.07,10/7/2007,2007,Unprovoked,USA,M,22.0,October,2007 October,False
59,2007.08.12,8/12/2007,2007,Unprovoked,USA,F,15.0,August,2007 August,False
60,2007.04.13.R,4/13/2007,2007,,USA,,,April,2007 April,False
61,2006.08.27,8/27/2006,2006,Unprovoked,REUNION,M,27.0,August,2006 August,False
62,2006.08.15,8/15/2006,2006,Unprovoked,SOUTH AFRICA,M,,August,2006 August,False
63,2006.06.15,6/15/2006,2006,Unprovoked,USA,M,24.0,June,2006 June,False
64,2006.05.21,5/21/2006,2006,Unprovoked,BRAZIL,M,33.0,May,2006 May,False
65,2006.04.19,4/19/2006,2006,Unprovoked,USA,F,13.0,April,2006 April,False
66,2005.08.24.b,8/24/2005,2005,Unprovoked,AUSTRALIA,M,23.0,August,2005 August,True
67,2005.08.14,8/14/2005,2005,,SOUTH AFRICA,,,August,2005 August,False
68,2005.04.16.a,4/16/2005,2005,Unprovoked,AUSTRALIA,M,40.0,April,2005 April,False
69,2004.12.11,12/11/2004,2004,Unprovoked,AUSTRALIA,M,38.0,December,2004 December,True
70,2004.11.26,11/26/2004,2004,Unprovoked,SOUTH AFRICA,M,16.0,November,2004 November,False
71,2004.10.01,10/1/2004,2004,Unprovoked,USA,M,40.0,October,2004 October,False
72,2004.05.01,5/1/2004,2004,Unprovoked,BRAZIL,M,22.0,May,2004 May,True
73,2004.03.22,3/22/2004,2004,Unprovoked,NEW ZEALAND,M,,March,2004 March,False
74,2004.01.22,1/22/2004,2004,,NEW ZEALAND,M,,January,2004 January,False
75,2003.11.01,11/1/2003,2003,Unprovoked,AUSTRALIA,M,,November,2003 November,False
76,2002.09.13,9/13/2002,2002,Unprovoked,SOUTH AFRICA,M,47.0,September,2002 September,False
77,2001.01.06,1/6/2001,2001,,NEW ZEALAND,M,,January,2001 January,False
78,2000.12.05,12/5/2000,2000,Unprovoked,CANADA,M,30.0,December,2000 December,False
79,2000.08.27.R,8/27/2000,2000,Provoked,USA,M,,August,2000 August,False
80,2000.05.09,5/9/2000,2000,,AUSTRALIA,,,May,2000 May,False
81,2000.02.21,2/21/2000,2000,Unprovoked,USA,M,27.0,February,2000 February,False
82,1999.11.30,11/30/1999,1999,Unprovoked,USA,M,19.0,November,1999 November,False
83,1998.09.22,9/22/1998,1998,Unprovoked,USA,M,18.0,September,1998 September,False
84,1997.10.28.b,10/28/1997,1997,Unprovoked,AUSTRALIA,M,51.0,October,1997 October,False
85,1997.08.11.c,8/11/1997,1997,Unprovoked,USA,F,12.0,August,1997 August,False
86,1997.07.12,7/12/1997,1997,Unprovoked,JAPAN,M,55.0,July,1997 July,True
87,1997.06.09,6/9/1997,1997,Unprovoked,USA,M,18.0,June,1997 June,False
88,1995.09.03.b,9/3/1995,1995,Unprovoked,USA,M,32.0,September,1995 September,False
89,1995.08.21,8/21/1995,1995,Unprovoked,USA,,,August,1995 August,False
90,1995.06.16,6/16/1995,1995,Unprovoked,USA,F,10.0,June,1995 June,False
91,1995.00.00.d,1/1/1995,1995,Provoked,AUSTRALIA,M,,January,1995 January,False
92,1994.05.31.b,5/31/1994,1994,Unprovoked,USA,M,24.0,May,1994 May,False
93,1993.08.15.b,8/15/1993,1993,,USA,,,August,1993 August,False
94,1993.06.05,6/5/1993,1993,Unprovoked,AUSTRALIA,F,34.0,June,1993 June,True
95,1992.07.21,7/21/1992,1992,Unprovoked,USA,F,42.0,July,1992 July,False
96,1989.11.02,11/2/1989,1989,Unprovoked,AUSTRALIA,M,10.0,November,1989 November,False
97,1988.10.06,10/6/1988,1988,Unprovoked,AUSTRALIA,M,15.0,October,1988 October,False
98,1988.07.00,7/1/1988,1988,Unprovoked,BAHAMAS,M,,July,1988 July,False
99,1988.06.19,6/16/1988,1988,Unprovoked,SOUTH AFRICA,M,36.0,June,1988 June,False
100,1988.03.25,3/25/1988,1988,Unprovoked,USA,M,,March,1988 March,False
101,1987.00.00.b,1/1/1987,1987,,MONTENEGRO,M,,January,1987 January,False
102,1986.02.18,2/18/1986,1986,Unprovoked,SOUTH AFRICA,M,21.0,February,1986 February,False
103,1986.02.07,2/7/1986,1986,Unprovoked,SOUTH AFRICA,M,46.0,February,1986 February,False
104,1985.10.18,10/18/1985,1985,Unprovoked,USA,M,33.0,October,1985 October,False
105,1984.09.22.b,9/22/1984,1984,Unprovoked,USA,M,,September,1984 September,False
106,1984.03.17,3/17/1984,1984,,SOMALIA,M,,March,1984 March,False
107,1983.00.00.b,1/1/1983,1983,Provoked,USA,M,,January,1983 January,False
