,Median Sea Level 1961-1990,Median Sea Level 1991-2021
0,-1.53,2.2
1,-0.05,0.17
2,2.21,2.16
3,1.14,1.52
4,-0.57,1.91
5,0.61,0.41
6,0.18,1.43
7,1.31,2.99
8,-0.22,1.07
9,-0.7,0.05
10,0.12,-0.48
11,-0.52,0.65
12,-0.63,0.09
13,-1.21,0.87
14,-0.04,1.77
15,-0.5,0.23
16,-0.19,1.75
17,-0.19,2.32
18,-0.84,2.75
19,0.71,1.12
20,0.12,-0.2
21,-0.89,0.36
22,0.03,-0.48
23,0.0,1.98
24,0.45,-0.66
25,-0.19,0.35
26,0.45,0.54
27,0.35,-0.11
28,0.25,2.37
29,-0.25,1.69
30,-0.14,0.54
31,0.24,0.37
32,-1.21,0.82
33,-0.46,2.46
34,-0.28,0.65
35,1.44,1.4
36,-0.89,2.46
37,0.52,1.72
38,-0.05,0.6
39,-1.42,0.7
40,0.46,0.12
41,-1.53,1.18
42,-0.59,1.56
43,1.0,1.12
44,0.16,1.33
45,-0.51,0.75
46,0.63,2.08
47,0.27,0.17
48,1.43,0.65
49,-0.7,1.8
50,-0.3,1.36
51,-0.19,0.6
52,-0.02,0.06
53,0.04,-0.19
54,0.21,1.05
55,-1.06,2.2
56,-0.46,-0.95
57,-0.9,2.79
58,-0.05,-0.07
59,0.44,2.75
60,0.97,0.65
61,-0.63,0.17
62,-0.89,3.68
63,-0.22,2.99
64,-0.5,-0.77
65,-0.59,0.54
66,-0.15,0.35
67,-0.76,2.28
68,0.35,1.52
69,-0.02,1.3
70,0.06,1.81
71,0.22,0.99
72,-0.09,1.4
73,-0.33,0.41
74,1.29,0.17
75,-0.4,-0.5
76,-0.9,0.12
77,-0.39,1.36
78,0.18,1.45
79,-0.94,2.44
80,0.25,-0.3
81,0.11,-0.09
82,0.18,0.12
83,0.52,0.92
84,0.35,0.82
85,-0.09,1.53
86,-0.29,0.81
87,-0.31,2.01
88,0.38,-0.2
89,-0.02,-0.12
90,0.52,1.6
91,1.62,0.64
92,-0.96,2.71
93,-0.41,0.59
94,0.16,0.36
95,-0.88,-0.67
96,-0.02,2.75
97,1.56,0.59
98,-0.05,0.98
99,-0.33,0.0
100,0.96,0.41
101,-0.28,1.94
102,0.4,1.21
103,-0.47,3.03
104,0.32,0.81
105,-0.71,2.95
106,0.0,1.77
107,-0.09,0.14
108,-0.29,-0.12
109,0.21,1.14
110,-0.76,0.0
111,0.21,0.07
112,0.22,1.07
113,-0.71,1.22
114,-0.67,0.72
115,-1.55,-0.19
116,1.75,1.17
117,0.56,2.02
118,-0.28,1.7
119,0.95,0.32
