,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True,Median Sea Level,Case Number Count
0,2020.07.22,7/22/2020,2020,Unprovoked,USA,M,,July,2020 July,False,1.84,10
1,2020.07.31.b,7/31/2020,2020,Unprovoked,USA,M,14.0,July,2020 July,False,1.84,10
2,2020.07.27.a,7/27/2020,2020,Unprovoked,USA,F,63.0,July,2020 July,True,1.84,10
3,2020.07.10,7/10/2020,2020,Unprovoked,USA,F,15.0,July,2020 July,False,1.84,10
4,2020.07.29.b,7/29/2020,2020,Unprovoked,USA,M,38.0,July,2020 July,False,1.84,10
5,2020.07.23.a,7/23/2020,2020,Unprovoked,USA,M,11.0,July,2020 July,False,1.84,10
6,2020.07.14,7/14/2020,2020,Unprovoked,USA,F,14.0,July,2020 July,False,1.84,10
7,2020.07.19,7/19/2020,2020,Unprovoked,USA,F,12.0,July,2020 July,False,1.84,10
8,2020.07.23.b,7/23/2020,2020,Unprovoked,USA,M,23.0,July,2020 July,False,1.84,10
9,2020.07.31.c,7/31/2020,2020,Unprovoked,USA,F,22.0,July,2020 July,False,1.84,10
10,2019.09.15,9/15/2019,2019,Unprovoked,USA,F,22.0,September,2019 September,False,2.44,5
11,2019.09.24.a,9/24/2019,2019,Unprovoked,USA,M,13.0,September,2019 September,False,2.44,5
12,2019.09.26,9/26/2019,2019,Unprovoked,USA,F,,September,2019 September,False,2.44,5
13,2019.09.24.b,9/24/2019,2019,Unprovoked,USA,M,,September,2019 September,False,2.44,5
14,2019.09.18,9/18/2019,2019,Unprovoked,USA,,,September,2019 September,False,2.44,5
15,2019.04.23,4/23/2019,2019,Unprovoked,USA,F,65.0,April,2019 April,False,2.17,5
16,2019.04.06.b,4/6/2019,2019,,USA,M,58.0,April,2019 April,False,2.17,5
17,2019.04.12,4/12/2019,2019,,USA,F,10.0,April,2019 April,False,2.17,5
18,2019.04.06.a,4/6/2019,2019,Unprovoked,USA,M,23.0,April,2019 April,False,2.17,5
19,2019.04.21,4/21/2019,2019,Unprovoked,USA,M,25.0,April,2019 April,False,2.17,5
20,2019.01.08,1/8/2019,2019,Unprovoked,USA,M,19.0,January,2019 January,False,1.86,1
21,2018.11.24,11/24/2018,2018,Unprovoked,USA,M,48.0,November,2018 November,False,1.65,1
22,2018.08.15.b,8/15/2018,2018,,USA,M,,August,2018 August,False,2.71,7
23,2018.08.19,8/18/2018,2018,Unprovoked,USA,M,14.0,August,2018 August,False,2.71,7
24,2018.08.05.b,8/5/2018,2018,Unprovoked,USA,M,16.0,August,2018 August,False,2.71,7
25,2018.08.15.a,8/15/2018,2018,Unprovoked,USA,M,61.0,August,2018 August,False,2.71,7
26,2018.08.24,8/24/2018,2018,Unprovoked,USA,M,14.0,August,2018 August,False,2.71,7
27,2018.08.09,8/9/2018,2018,Unprovoked,USA,M,42.0,August,2018 August,False,2.71,7
28,2018.08.05.a,8/5/2018,2018,Unprovoked,USA,F,,August,2018 August,False,2.71,7
29,2018.07.07,7/7/2018,2018,,USA,M,,July,2018 July,False,1.6,11
