,ALA,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,CAN,USA,USC
1961,1.99,-1.0,0.38,0.45,-0.64,0.99,0.47,-1.19,-1.67,0.2,0.16,-0.29,-0.17
1961,1.23,0.37,0.68,0.32,0.54,0.65,0.57,-0.71,-1.34,-0.51,0.78,0.29,0.44
1961,2.32,0.85,1.51,0.4,-0.14,0.76,0.52,-0.16,-0.67,-0.4,0.26,0.91,0.75
1961,0.75,0.54,-0.17,0.82,0.05,1.68,-0.17,-0.93,-1.48,-0.4,0.24,0.03,0.12
1961,1.02,-0.73,1.05,-0.36,-0.39,1.12,-0.23,-1.08,-1.63,-1.31,-0.28,-0.9,-0.66
1961,1.65,-1.54,1.06,-0.68,-0.14,1.44,0.61,-1.7,-1.55,-0.28,0.27,-1.15,-0.57
1961,1.21,-1.22,-0.13,-1.72,0.53,1.45,-0.44,-0.93,-0.57,-0.49,0.32,-0.66,-0.24
1961,1.51,-1.61,-0.34,-1.86,0.31,1.1,-0.24,-1.0,-0.7,-0.61,0.25,-0.91,-0.55
1961,0.3,-0.91,-1.13,-1.77,0.25,0.62,-0.57,-0.96,1.05,-0.85,-0.07,-0.98,-0.72
1961,0.57,-0.16,-1.24,-2.08,-0.42,0.08,-0.7,-0.62,-0.62,-1.56,-0.86,-0.68,-0.98
1961,0.27,-0.58,-1.28,-1.1,-1.49,0.78,-1.1,-0.08,-0.05,-0.96,-1.45,-0.71,-1.15
1961,0.31,-0.64,-0.71,0.2,-1.22,1.19,-0.37,-0.42,-0.52,-0.64,-0.78,-0.65,-0.77
1962,0.15,-1.43,-1.76,-1.68,-1.92,1.02,-0.97,-1.32,-1.97,-0.59,-1.69,-1.76,-1.92
1962,-0.27,0.07,-0.47,-1.95,-0.1,0.24,-0.21,-0.26,-1.11,0.43,-0.26,-0.24,-0.25
1962,-0.29,1.5,-0.66,0.72,-0.52,0.96,-1.16,0.45,-0.34,-0.96,-0.78,0.49,0.06
1962,0.82,-1.04,-0.05,-0.31,-0.41,0.62,-0.24,-1.74,-1.06,-1.03,-0.37,-1.26,-1.07
1962,0.25,-0.89,0.38,-0.78,-0.7,0.74,-0.91,-0.87,-1.68,-0.35,-0.79,-1.05,-1.02
1962,0.65,-1.0,-0.77,-1.56,-1.15,1.36,-0.2,-0.64,-1.22,-0.8,-0.9,-1.04,-1.05
1962,0.68,-0.76,-1.13,-0.46,-0.53,1.15,-0.87,-0.68,-1.6,-0.79,-0.64,-0.97,-0.92
1962,1.09,-0.64,-0.29,-1.62,-0.71,1.1,-0.01,-0.41,-1.55,-0.74,-0.51,-0.42,-0.55
1962,0.72,-1.26,0.07,-1.38,-1.02,0.84,0.1,-1.17,-1.55,-0.25,-0.67,-1.03,-1.07
1962,1.29,-0.09,0.69,-0.57,-0.63,0.36,0.8,-0.84,-1.68,0.48,-0.01,0.09,0.08
1962,1.47,0.31,-0.17,-0.67,-0.92,0.22,0.12,-0.89,-1.31,-1.0,-0.47,0.09,-0.14
1962,0.88,-0.44,-0.39,-1.11,-2.02,1.47,0.14,-0.94,-1.58,-0.33,-0.98,-0.48,-0.72
1963,-0.33,-0.65,-1.81,-1.02,-0.93,0.9,-1.39,-0.16,-1.3,-0.44,-1.4,-1.06,-1.3
1963,0.78,-2.32,-0.34,-0.82,-2.27,0.89,0.18,-1.2,-2.07,0.39,-1.0,-1.12,-1.12
1963,-0.15,-0.57,-0.6,-1.89,-1.34,0.83,-0.96,-1.64,-1.26,-0.61,-1.37,-1.18,-1.35
1963,0.89,-0.72,1.09,-0.02,-0.29,0.86,1.11,-1.45,-1.38,0.33,0.35,-0.61,-0.31
1963,1.27,-2.27,0.64,-2.67,-1.38,0.52,0.14,-1.62,-2.34,-0.01,-1.19,-1.82,-1.67
1963,1.18,-1.3,-0.12,-1.56,-1.42,0.65,0.4,-1.87,-1.96,0.29,-0.96,-1.36,-1.27
1963,1.5,-1.6,0.47,-0.96,-1.12,0.55,0.4,-1.77,-1.63,0.08,-0.59,-1.04,-0.94
1963,0.79,-1.93,-0.51,-1.39,-0.75,0.89,-0.11,-2.06,-2.64,-0.19,-0.62,-2.19,-1.91
1963,1.5,-1.52,0.89,-1.19,-0.93,1.12,1.12,-0.67,-1.55,0.53,-0.09,-0.01,-0.05
1963,2.32,-1.47,1.12,-0.57,-1.4,1.2,1.84,-0.85,-1.25,-0.03,0.12,-0.3,-0.22
1963,1.2,-0.21,0.5,-0.37,0.35,1.52,0.68,-1.16,-0.97,0.24,0.78,-0.01,0.33
1963,1.14,-1.66,-0.39,-0.67,-1.49,1.74,0.22,-2.22,-2.12,0.1,-0.55,-1.41,-1.25
1964,1.67,-0.42,0.51,-0.7,-0.23,1.07,1.18,-1.6,-2.47,-0.17,0.83,-0.4,-0.02
1964,0.19,-1.12,-1.74,-0.63,-0.98,1.53,-1.52,-1.8,-2.15,-1.26,-1.42,-1.53,-1.55
1964,-0.04,-0.67,-0.7,-1.73,-0.47,0.57,-1.11,-1.46,-1.29,-1.46,-0.88,-1.29,-1.24
1964,0.18,-1.44,-1.31,-2.99,-2.28,0.68,-1.46,-1.79,-1.58,-1.88,-2.58,-2.07,-2.52
1964,0.07,-1.59,-1.37,-0.57,-1.53,1.34,-1.84,-0.96,-1.09,-1.99,-1.68,-1.95,-2.01
1964,0.82,-1.93,0.3,-1.56,-1.52,0.86,0.28,-1.55,-1.75,-1.71,-1.06,-1.95,-1.68
1964,1.6,-1.86,0.18,-1.97,-1.09,0.28,0.13,-2.25,-1.87,-2.11,-0.76,-1.87,-1.53
1964,1.4,-1.15,0.0,-1.39,-1.44,1.03,0.53,-1.36,-1.27,-0.61,-0.89,-0.85,-1.05
1964,0.31,-1.27,-0.8,-0.6,-2.16,1.62,-0.3,-0.36,-1.08,-0.97,-1.54,-1.29,-1.72
1964,1.09,-0.88,-0.59,-1.82,-1.91,1.55,-0.21,-0.7,-1.39,-1.04,-1.55,-0.85,-1.42
1964,0.28,-0.51,-0.37,-0.52,-2.32,1.22,-0.52,-1.14,-1.1,-0.89,-1.5,-1.0,-1.38
1964,0.48,-0.92,0.62,-1.69,-1.63,0.44,0.47,-0.95,-0.58,-0.28,-0.71,-0.58,-0.69
1965,0.57,0.01,0.58,-0.2,-1.86,0.79,0.28,-0.46,-1.13,-0.21,-0.73,-0.01,-0.26
1965,-0.07,-0.61,-0.6,-1.0,-1.53,1.06,-0.82,-0.72,-0.27,-0.04,-1.3,-0.58,-0.81
1965,-0.59,-1.02,-0.8,0.07,-1.75,0.64,-1.58,-1.26,-1.93,0.48,-1.89,-1.28,-1.61
