Year,Year,Amount of Shark Attacks
1961,1961,78
1962,1962,83
1963,1963,60
1964,1964,66
1965,1965,45
1966,1966,54
1967,1967,47
1968,1968,47
1969,1969,29
1970,1970,35
1971,1971,29
1972,1972,36
1973,1973,27
1974,1974,36
1975,1975,49
1976,1976,39
1977,1977,26
1978,1978,24
1979,1979,25
1980,1980,31
1981,1981,48
1982,1982,41
1983,1983,49
1984,1984,41
1985,1985,36
1986,1986,39
1987,1987,35
1988,1988,55
1989,1989,53
1990,1990,39
1991,1991,39
1992,1992,56
1993,1993,53
1994,1994,55
1995,1995,75
1996,1996,61
1997,1997,57
1998,1998,65
1999,1999,66
2000,2000,95
2001,2001,91
2002,2002,88
2003,2003,91
2004,2004,91
2005,2005,103
2006,2006,102
2007,2007,113
2008,2008,119
2009,2009,120
2010,2010,100
2011,2011,126
2012,2012,117
2013,2013,122
2014,2014,127
2015,2015,143
2016,2016,131
2017,2017,139
2018,2018,121
2019,2019,112
2020,2020,92
